,Country,Acs_Water_Service,BMI18,BMI25,BMI30,Diab,Hyp_Ten,Insuf_Phy,N_HDL_Chol,PM2.5,R_Bld_P,Alc_pcgmp,Male.Life.Exp,Female.Life.Exp,Hep83,MCV1,Pol3,DTP3,HIV,PCGMP,Pop,EduAvg,P_Ciga,Tax_Ciga,HDL_Chol,Cal_Daily,Isc_Stroke_Death,Hae_Stroke_Death,Cancer_Death,Res_Dis_Death
191,Dominica,NA,4.63,57.14,29.21,21.95,47.7,28.75,3.5,8.22,39.28,6.34,NA,NA,99,92,99,99,NA,8561.587011,71428,NA,1.85,0.23,1.2,2981.3323,36.06,30.47,NA,22.88
192,Equatorial Guinea,NA,9.57,37.73,16.29,12.63,38.1,19.83,2.8,25.67,33.79,6.19,59.88,63.05,62,51,63,62,5.13,7317.390026,1553031,NA,0.9,0.24,1.2,NA,240.36,293.19,NA,1101.93
193,Eritrea,NA,32.47,15.46,4.02,7.92,23.7,11.72,3,22.74,20.68,0.88,61,66.53,95,93,95,95,0.13,NA,3498818,NA,NA,NA,1.1,NA,813.7,2118.46,NA,3161.11
194,French Polynesia,NA,1.42,73.02,46.48,16.35,NA,NA,NA,NA,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,Greenland,NA,2.53,57.56,25.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Grenada,NA,4.22,58.21,28.25,19.13,46.6,34.5,3.5,10.08,37.76,8.46,70.46,75.32,94,94,94,94,NA,9887.920742,122724,NA,NA,NA,1.2,2497.654,84.83,50.56,152.04393,77.33
197,Nauru,NA,0.44,88.91,69.17,25.86,41.8,36.41,3.1,7.4,35.53,2.44,NA,NA,96,95,96,96,NA,10316.52782,12132,NA,12.98,0.42,1,2985.6006,2,8.78,NA,3.97
198,Puerto Rico,NA,2.74,72.13,39.11,21.47,42.6,40.42,NA,NA,32.9,NA,76.86,84.04,NA,NA,NA,NA,NA,32916.8668,3193694,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Saint Kitts and Nevis,NA,2.91,73.96,43.59,19.17,45.1,40.39,3.5,8.05,35.03,8.83,NA,NA,97,97,97,97,NA,NA,NA,NA,NA,NA,1.1,2829.2803,34.61,24.49,NA,19.16
200,Saint Vincent and the Grenadines,NA,4.01,59.76,31.14,13.68,39.3,29.43,3.2,9.41,31.22,7.61,70.76,75.82,98,99,99,97,NA,NA,NA,NA,2.96,0.23,1.2,2960.4355,61.39,43.24,146.55217,38.54
201,Tokelau,NA,0.45,89.77,68.44,31.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,3472.380831,11777315,9.06,NA,NA,1,2419.0005,1831.17,3161.24,NA,5353.43
203,Moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,4405.334182,2664224,10.84,NA,NA,1.3,2530.189,2849.2,1826.42,NA,783.72
204,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,52476.27325,17344874,11.82,NA,NA,1.4,3468,6201.76,3082.99,114.38801,3917.83
205,North America,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180795294,63584.03774,366012359,11.858304,NA,NA,NA,3563.3286,147511.28,113706.24,NA,125801.086
206,Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06,1050.931763,59872579,6.87,NA,NA,1.1,2358.9998,7274.49,10765.64,NA,27301.02
207,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42662.53537,66836327,12.9,NA,NA,1.5,3378.9998,21903.01,14443.29,116.20921,35101.57
208,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,65548.07078,328329953,13.32,NA,NA,1.4,3875.9998,95765.05,65376.78,99.95339,51986.86
209,Democratic Republic of Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,NA,NA,1.1,2158.9998,13669.65,28156.28,NA,73330.68
210,Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,1.2,2917.9998,27326.75,6794.36,NA,8441.59
211,Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05,NA,NA,1,2724.9968,2228.78,4021.89,NA,2885.45
212,Russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,1.4,3347.0002,243573.38,71897.51,119.7975,25720.98
213,South Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.68,NA,NA,1.4,3381.9998,15605.13,10429.99,85.8372,27176.36
214,Syria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,NA,NA,1.2,2517.9998,5542.69,3723.95,NA,3089.86
215,Turkey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.49,NA,NA,1.2,3801.9995,28874.3,17157.9,85.998985,13486.58
216,Venezuela,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33,NA,NA,1,2237.9995,6024.31,6837.66,NA,6066.64
217,Vietnam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35,NA,NA,1.1,2962.0002,79439.61,92136.02,NA,23881.19
